y	yend	x	xend	showSelected1	PANEL
1	1	0.315592137821912	0.925985891690651	controls.between.sites PP	2
1	1	0.722938776339445	0.78004711916384	controls.between.sites glacier_forefield	2
1	1	0.898626690907321	0.953226857049906	controls.between.sites litchfield_island	2
1	1	0.629320767180218	0.998220235309617	dim.C.between.sites GL	2
1	1	0.48873374948993	0.869269794277891	dim.C.between.sites MC	2
1	1	0.563021757883105	0.997845807337494	dim.C.between.sites PJ	2
1	1	0.573333675566738	0.899419807937648	dim.C.between.sites PP	2
1	1	0.732721295201702	0.998303919661283	dim.CN.combine.sites GL	2
1	1	0.70367761917689	0.995299489280137	dim.CN.combine.sites MC	2
1	1	0.805105127153998	0.99962639915859	dim.CN.combine.sites PJ	2
1	1	0.765468976099692	0.983928044826055	dim.CN.combine.sites PP	2
1	1	0.699364289582664	0.998357192674686	dim.compare.sites GL	2
1	1	0.684524806480769	0.970159355954666	dim.compare.sites MC	2
1	1	0.64704327231539	0.998343310821595	dim.compare.sites PJ	2
1	1	0.693140318983371	0.948188735185882	dim.compare.sites PP	2
1	1	0.77258441840811	0.999819987479775	dim.compare.treatments C	2
1	1	0.898439128918137	0.978767924589541	dim.compare.treatments CN	2
1	1	0.432619634759877	0.924760657440922	dim.compare.treatments control	2
3	3	0.726900592091091	0.996315666820837	control.vs.carbon.additions C	2
3	3	0.797075602227575	0.951512338688835	control.vs.carbon.additions CN	2
3	3	0.345397631954412	0.626326469451358	control.vs.carbon.additions control	2
3	3	0.0544124765020947	0.186201254733906	controls.between.experiments dim	2
3	3	0.255370350296968	0.488225294860549	controls.between.experiments qme	2
3	3	0.422136953186059	0.998847293348918	controls.between.sites GL	2
3	3	0.34513658741355	0.996397242855133	controls.between.sites MC	2
3	3	0.223409363789632	1	controls.between.sites PJ	2
3	3	0.243605575689124	0.812473168939641	controls.between.sites PP	2
3	3	0.0355847544785006	0.136195587947877	controls.between.sites glacier_forefield	2
3	3	0.0313323959118969	0.213201223102957	controls.between.sites litchfield_island	2
3	3	0.620920366373805	1	dim.C.between.sites GL	2
3	3	0.322340551930951	0.75715085012144	dim.C.between.sites MC	2
3	3	0.547665596621751	0.998069003605181	dim.C.between.sites PJ	2
3	3	0.452627838598505	0.740358805193123	dim.C.between.sites PP	2
3	3	0.720504106367913	0.999877636852301	dim.CN.combine.sites GL	2
3	3	0.692171992326619	0.99254934538451	dim.CN.combine.sites MC	2
3	3	0.80637356098257	0.998530728597023	dim.CN.combine.sites PJ	2
3	3	0.750252700511138	0.951208753531663	dim.CN.combine.sites PP	2
3	3	0.689350600314148	0.998853872069681	dim.compare.sites GL	2
3	3	0.635563948277843	0.942663190504907	dim.compare.sites MC	2
3	3	0.638357819147807	1	dim.compare.sites PJ	2
3	3	0.637804068689887	0.867503634703325	dim.compare.sites PP	2
3	3	0.772540360505406	1	dim.compare.treatments C	2
3	3	0.886135452968755	0.96070381312253	dim.compare.treatments CN	2
3	3	0.279222393940295	0.844607750256464	dim.compare.treatments control	2
5	5	0.7263698000892	1	control.vs.carbon.additions C	2
5	5	0.832510009856058	1	control.vs.carbon.additions CN	2
5	5	0.703649329517522	0.937770045519591	control.vs.carbon.additions control	2
5	5	0.968973911158539	0.991729546643544	controls.between.experiments dim	2
5	5	0.776560300208088	1	controls.between.experiments qme	2
5	5	0.422166306428277	1	controls.between.sites GL	2
5	5	0.339946369164552	1	controls.between.sites MC	2
5	5	0.23347528478654	0.995327936779431	controls.between.sites PJ	2
5	5	0.390315731661859	1	controls.between.sites PP	2
5	5	0.751920246625566	0.807404658050599	controls.between.sites glacier_forefield	2
5	5	0.947982554333026	1	controls.between.sites litchfield_island	2
5	5	0.632624941058939	0.998841415940105	dim.C.between.sites GL	2
5	5	0.660498174051839	1	dim.C.between.sites MC	2
5	5	0.569625156571497	1	dim.C.between.sites PJ	2
5	5	0.678177311541232	1	dim.C.between.sites PP	2
5	5	0.739874495646468	1	dim.CN.combine.sites GL	2
5	5	0.712592790426199	1	dim.CN.combine.sites MC	2
5	5	0.80483267397858	1	dim.CN.combine.sites PJ	2
5	5	0.778585322339237	1	dim.CN.combine.sites PP	2
5	5	0.704294777362566	1	dim.compare.sites GL	2
5	5	0.724523613018201	1	dim.compare.sites MC	2
5	5	0.651002907215898	0.999059130938842	dim.compare.sites PJ	2
5	5	0.742755056233401	1	dim.compare.sites PP	2
5	5	0.772631573833429	0.999736488513369	dim.compare.treatments C	2
5	5	0.917491409664524	1	dim.compare.treatments CN	2
5	5	0.539891201749388	1	dim.compare.treatments control	2
