y	yend	x	xend	showSelected1	PANEL
2	2	-3.43506274978053	-3.42989796306209	control.vs.carbon.additions C	1
2	2	-3.29734529003854	-3.32750873804915	control.vs.carbon.additions CN	1
2	2	-3.46214144438423	-3.53082699463826	control.vs.carbon.additions control	1
2	2	-3.15142821471467	-3.62616569379534	controls.between.experiments dim	1
2	2	-2.82491098968306	-2.89073272727106	controls.between.experiments qme	1
2	2	-3.6355647790615	-3.60022079093517	controls.between.sites GL	1
2	2	-3.63063961721286	-3.62327497595254	controls.between.sites MC	1
2	2	-3.62307889055035	-3.59777480607325	controls.between.sites PJ	1
2	2	-3.29602057920196	-3.30816497410897	controls.between.sites PP	1
2	2	-3.80749529101989	-4.61696643987547	controls.between.sites glacier_forefield	1
2	2	-3.98757260667907	-4.57673383792773	controls.between.sites litchfield_island	1
2	2	-3.559228869922	-3.51889089833237	dim.C.between.sites GL	1
2	2	-3.58160882793922	-3.62546332025968	dim.C.between.sites MC	1
2	2	-3.48455293495077	-3.46690701258644	dim.C.between.sites PJ	1
2	2	-3.197070393219	-3.24811667537129	dim.C.between.sites PP	1
2	2	-3.38124754610589	-3.34289406124076	dim.CN.combine.sites GL	1
2	2	-3.38008097106917	-3.38017296354207	dim.CN.combine.sites MC	1
2	2	-3.30373590855522	-3.27028835923831	dim.CN.combine.sites PJ	1
2	2	-3.23764180805757	-3.20296807449639	dim.CN.combine.sites PP	1
2	2	-3.46605381826552	-3.45928249309391	dim.compare.sites GL	1
2	2	-3.48486643403095	-3.49548217881528	dim.compare.sites MC	1
2	2	-3.41323315104274	-3.41191651933685	dim.compare.sites PJ	1
2	2	-3.22649942138875	-3.24222761695851	dim.compare.sites PP	1
2	2	-3.43512884316076	-3.42953240809781	dim.compare.treatments C	1
2	2	-3.30311772953921	-3.32719562864751	dim.compare.treatments CN	1
2	2	-3.44635553485894	-3.5031221144319	dim.compare.treatments control	1
4	4	-3.40685427039013	-3.42989796306209	control.vs.carbon.additions C	1
4	4	-3.20885037754578	-3.32750873804915	control.vs.carbon.additions CN	1
4	4	-3.3925234833303	-3.53082699463826	control.vs.carbon.additions control	1
4	4	-2.77224319983983	-3.62616569379534	controls.between.experiments dim	1
4	4	-2.50153774273924	-2.89073272727106	controls.between.experiments qme	1
4	4	-3.62577880865508	-3.60022079093517	controls.between.sites GL	1
4	4	-3.60847533292241	-3.62327497595254	controls.between.sites MC	1
4	4	-3.60190284173645	-3.59777480607325	controls.between.sites PJ	1
4	4	-3.24054504968054	-3.30816497410897	controls.between.sites PP	1
4	4	-3.58384479842185	-4.61696643987547	controls.between.sites glacier_forefield	1
4	4	-3.80592787878541	-4.57673383792773	controls.between.sites litchfield_island	1
4	4	-3.54785801981374	-3.51889089833237	dim.C.between.sites GL	1
4	4	-3.47410629431088	-3.62546332025968	dim.C.between.sites MC	1
4	4	-3.45673209628736	-3.46690701258644	dim.C.between.sites PJ	1
4	4	-3.11344819041134	-3.24811667537129	dim.C.between.sites PP	1
4	4	-3.36112352492632	-3.34289406124076	dim.CN.combine.sites GL	1
4	4	-3.33747589441503	-3.38017296354207	dim.CN.combine.sites MC	1
4	4	-3.2789293326866	-3.27028835923831	dim.CN.combine.sites PJ	1
4	4	-3.20755974341656	-3.20296807449639	dim.CN.combine.sites PP	1
4	4	-3.44448062873891	-3.45928249309391	dim.compare.sites GL	1
4	4	-3.42652528684961	-3.49548217881528	dim.compare.sites MC	1
4	4	-3.39251233356914	-3.41191651933685	dim.compare.sites PJ	1
4	4	-3.18135288956159	-3.24222761695851	dim.compare.sites PP	1
4	4	-3.40916993633875	-3.42953240809781	dim.compare.treatments C	1
4	4	-3.21292147813363	-3.32719562864751	dim.compare.treatments CN	1
4	4	-3.41265592871995	-3.5031221144319	dim.compare.treatments control	1
