y	x	showSelected1	PANEL
1	0.106165845464953	control.vs.carbon.additions C	1
1	0.153949033644707	control.vs.carbon.additions CN	1
1	0.510352653771082	control.vs.carbon.additions control	1
1	0.566812886937713	controls.between.experiments dim	1
1	0.250384821006122	controls.between.experiments qme	1
1	0.431520080639373	controls.between.sites GL	1
1	0.341630446532103	controls.between.sites MC	1
1	0.348490703637474	controls.between.sites PJ	1
1	0.327560567167211	controls.between.sites PP	1
1	0.738361607753743	controls.between.sites glacier_forefield	1
1	0.711795469676292	controls.between.sites litchfield_island	1
1	0.184280370635866	dim.C.between.sites GL	1
1	0.339164842150716	dim.C.between.sites MC	1
1	0.161934460483008	dim.C.between.sites PJ	1
1	0.313108443057738	dim.C.between.sites PP	1
1	0.0794403937538154	dim.CN.combine.sites GL	1
1	0.17081434467532	dim.CN.combine.sites MC	1
1	0.102993950511854	dim.CN.combine.sites PJ	1
1	0.0891937514303325	dim.CN.combine.sites PP	1
1	0.12783377548191	dim.compare.sites GL	1
1	0.141794649140177	dim.compare.sites MC	1
1	0.130516142333283	dim.compare.sites PJ	1
1	0.205717677403375	dim.compare.sites PP	1
1	0.0820852189211698	dim.compare.treatments C	1
1	0.132737575549641	dim.compare.treatments CN	1
1	0.557812644881845	dim.compare.treatments control	1
3	0.12979298576117	control.vs.carbon.additions C	1
3	0.0724095080277273	control.vs.carbon.additions CN	1
3	0.14368889756519	control.vs.carbon.additions control	1
3	0.0648736622360099	controls.between.experiments dim	1
3	0.122323037299286	controls.between.experiments qme	1
3	0.64415584821206	controls.between.sites GL	1
3	0.383672862166098	controls.between.sites MC	1
3	0.448122093847184	controls.between.sites PJ	1
3	0.270484832695917	controls.between.sites PP	1
3	0.0560688054286666	controls.between.sites glacier_forefield	1
3	0.0842640039001426	controls.between.sites litchfield_island	1
3	0.303343355237374	dim.C.between.sites GL	1
3	0.184870629222956	dim.C.between.sites MC	1
3	0.211995385802497	dim.C.between.sites PJ	1
3	0.150570817577863	dim.C.between.sites PP	1
3	0.174718662282773	dim.CN.combine.sites GL	1
3	0.170551719130541	dim.CN.combine.sites MC	1
3	0.179858207856195	dim.CN.combine.sites PJ	1
3	0.185449862621298	dim.CN.combine.sites PP	1
3	0.149526122204988	dim.compare.sites GL	1
3	0.0936055706744432	dim.compare.sites MC	1
3	0.134365307677978	dim.compare.sites PJ	1
3	0.145307044036922	dim.compare.sites PP	1
3	0.109272041708048	dim.compare.treatments C	1
3	0.0629689666944657	dim.compare.treatments CN	1
3	0.270750805859549	dim.compare.treatments control	1
5	0.235210031882038	control.vs.carbon.additions C	1
5	0.393173447963594	control.vs.carbon.additions CN	1
5	0.881993894250577	control.vs.carbon.additions control	1
5	0.967724634527876	controls.between.experiments dim	1
5	0.879534951710711	controls.between.experiments qme	1
5	0.490394232627409	controls.between.sites GL	1
5	0.468159359405245	controls.between.sites MC	1
5	0.431868515009641	controls.between.sites PJ	1
5	0.58828221010319	controls.between.sites PP	1
5	0.926873726501687	controls.between.sites glacier_forefield	1
5	0.905270152496198	controls.between.sites litchfield_island	1
5	0.217842974257077	dim.C.between.sites GL	1
5	0.717393341359353	dim.C.between.sites MC	1
5	0.240861302497817	dim.C.between.sites PJ	1
5	0.579371796796296	dim.C.between.sites PP	1
5	0.129432771254113	dim.CN.combine.sites GL	1
5	0.292445833797681	dim.CN.combine.sites MC	1
5	0.160000788690975	dim.CN.combine.sites PJ	1
5	0.172703147781602	dim.CN.combine.sites PP	1
5	0.196944783338365	dim.compare.sites GL	1
5	0.406628269052931	dim.compare.sites MC	1
5	0.191093335010771	dim.compare.sites PJ	1
5	0.379121585682711	dim.compare.sites PP	1
5	0.208190532674069	dim.compare.treatments C	1
5	0.394092063173882	dim.compare.treatments CN	1
5	0.728227543671942	dim.compare.treatments control	1
1	0.862129296999136	control.vs.carbon.additions C	2
1	0.89282591925038	control.vs.carbon.additions CN	2
1	0.664174500715047	control.vs.carbon.additions control	2
1	0.61814374785458	controls.between.experiments dim	2
1	0.478333923440839	controls.between.experiments qme	2
1	0.71075362048949	controls.between.sites GL	2
1	0.669898159390309	controls.between.sites MC	2
1	0.613300824323329	controls.between.sites PJ	2
1	0.620789014756281	controls.between.sites PP	2
1	0.751492947751642	controls.between.sites glacier_forefield	2
1	0.925926773978613	controls.between.sites litchfield_island	2
1	0.813770501244918	dim.C.between.sites GL	2
1	0.67900177188391	dim.C.between.sites MC	2
1	0.780433782610299	dim.C.between.sites PJ	2
1	0.736376741752193	dim.C.between.sites PP	2
1	0.865512607431492	dim.CN.combine.sites GL	2
1	0.849488554228513	dim.CN.combine.sites MC	2
1	0.902365763156294	dim.CN.combine.sites PJ	2
1	0.874698510462874	dim.CN.combine.sites PP	2
1	0.848860741128675	dim.compare.sites GL	2
1	0.827342081217717	dim.compare.sites MC	2
1	0.822693291568492	dim.compare.sites PJ	2
1	0.820664527084626	dim.compare.sites PP	2
1	0.886202202943943	dim.compare.treatments C	2
1	0.938603526753839	dim.compare.treatments CN	2
1	0.6786901461004	dim.compare.treatments control	2
3	0.861608129455964	control.vs.carbon.additions C	2
3	0.874293970458205	control.vs.carbon.additions CN	2
3	0.485862050702885	control.vs.carbon.additions control	2
3	0.120306865618	controls.between.experiments dim	2
3	0.371797822578758	controls.between.experiments qme	2
3	0.710492123267489	controls.between.sites GL	2
3	0.670766915134342	controls.between.sites MC	2
3	0.611704681894816	controls.between.sites PJ	2
3	0.528039372314382	controls.between.sites PP	2
3	0.085890171213189	controls.between.sites glacier_forefield	2
3	0.122266809507427	controls.between.sites litchfield_island	2
3	0.810460183186903	dim.C.between.sites GL	2
3	0.539745701026195	dim.C.between.sites MC	2
3	0.772867300113466	dim.C.between.sites PJ	2
3	0.596493321895814	dim.C.between.sites PP	2
3	0.860190871610107	dim.CN.combine.sites GL	2
3	0.842360668855565	dim.CN.combine.sites MC	2
