y	yend	x	xend	showSelected1	PANEL
3	3	-3.67800843802981	-3.57291820248956	dim.C.between.sites MC	1
1	1	-3.54163304083286	-3.42747282906868	dim.C.between.sites PJ	1
5	5	-3.51153399152694	-3.40193020104777	dim.C.between.sites PJ	1
3	3	-3.53511868822454	-3.39869533694835	dim.C.between.sites PJ	1
1	1	-3.25309568885954	-3.14104509757846	dim.C.between.sites PP	1
5	5	-3.16681080898764	-3.06008557183504	dim.C.between.sites PP	1
3	3	-3.29540468278058	-3.200828667962	dim.C.between.sites PP	1
1	1	-3.41322562449205	-3.34926946771972	dim.CN.combine.sites GL	1
5	5	-3.39240938490889	-3.32983766494374	dim.CN.combine.sites GL	1
3	3	-3.36860597371868	-3.31718214876284	dim.CN.combine.sites GL	1
1	1	-3.4301148485101	-3.33004709362824	dim.CN.combine.sites MC	1
5	5	-3.37306731291286	-3.3018844759172	dim.CN.combine.sites MC	1
3	3	-3.43991381781824	-3.3204321092659	dim.CN.combine.sites MC	1
1	1	-3.34855381687971	-3.25891800023073	dim.CN.combine.sites PJ	1
5	5	-3.32507287640505	-3.23278578896815	dim.CN.combine.sites PJ	1
3	3	-3.31288592161389	-3.22769079686272	dim.CN.combine.sites PJ	1
1	1	-3.26977151217871	-3.20551210393643	dim.CN.combine.sites PP	1
5	5	-3.22883257127599	-3.18628691555713	dim.CN.combine.sites PP	1
3	3	-3.24103322004575	-3.16490292894703	dim.CN.combine.sites PP	1
1	1	-3.50595747980815	-3.4261501567229	dim.compare.sites GL	1
5	5	-3.48403632065809	-3.40492493681973	dim.compare.sites GL	1
3	3	-3.49733582925634	-3.42122915693148	dim.compare.sites GL	1
1	1	-3.50676915586062	-3.46296371220128	dim.compare.sites MC	1
5	5	-3.45003341732719	-3.40301715637202	dim.compare.sites MC	1
3	3	-3.5161028854216	-3.47486147220895	dim.compare.sites MC	1
1	1	-3.4569025416135	-3.36956376047198	dim.compare.sites PJ	1
5	5	-3.43601146987411	-3.34901319726417	dim.compare.sites PJ	1
3	3	-3.4578770350379	-3.36595600363579	dim.compare.sites PJ	1
1	1	-3.26819011122241	-3.1848087315551	dim.compare.sites PP	1
5	5	-3.22345765926379	-3.13924811985939	dim.compare.sites PP	1
3	3	-3.28005899661667	-3.20439623730035	dim.compare.sites PP	1
1	1	-3.45202616878507	-3.41823151753645	dim.compare.treatments C	1
5	5	-3.4266718669329	-3.3916680057446	dim.compare.treatments C	1
3	3	-3.44975122751803	-3.40931358867758	dim.compare.treatments C	1
1	1	-3.32442645730511	-3.2818090017733	dim.compare.treatments CN	1
5	5	-3.23516542572545	-3.19067753054181	dim.compare.treatments CN	1
3	3	-3.34892689793755	-3.30546435935747	dim.compare.treatments CN	1
1	1	-3.48066096145746	-3.41205010826042	dim.compare.treatments control	1
5	5	-3.44512232721594	-3.38018953022396	dim.compare.treatments control	1
3	3	-3.55666318146337	-3.44958104740044	dim.compare.treatments control	1
1	1	-3.29956289751369	-3.24006217371229	control.vs.carbon.additions C	2
5	5	-3.29948895170707	-3.23967461935251	control.vs.carbon.additions C	2
3	3	-3.29937292296016	-3.24047999803277	control.vs.carbon.additions C	2
1	1	-3.05454042478049	-2.9934931970529	control.vs.carbon.additions CN	2
5	5	-3.04632912857444	-2.98437051927696	control.vs.carbon.additions CN	2
3	3	-3.05943717530639	-3.00230728111178	control.vs.carbon.additions CN	2
1	1	-3.45677637345908	-3.40987694042166	control.vs.carbon.additions control	2
5	5	-3.42593200641494	-3.38207517592024	control.vs.carbon.additions control	2
3	3	-3.49304176177006	-3.44041656645387	control.vs.carbon.additions control	2
1	1	-3.11797154916227	-3.08778673646213	controls.between.experiments dim	2
5	5	-2.77106162563895	-2.74953919325394	controls.between.experiments dim	2
3	3	-3.63605995329751	-3.51141324455289	controls.between.experiments dim	2
1	1	-2.77680710729521	-2.63869038322532	controls.between.experiments qme	2
5	5	-2.55446508994017	-2.43962060737295	controls.between.experiments qme	2
3	3	-2.8223485062378	-2.70266473631452	controls.between.experiments qme	2
1	1	-3.63716069223462	-3.54114133240617	controls.between.sites GL	2
5	5	-3.63711954893125	-3.54107292687079	controls.between.sites GL	2
3	3	-3.63712442798173	-3.54126452798594	controls.between.sites GL	2
1	1	-3.63082134165395	-3.51545146861223	controls.between.sites MC	2
5	5	-3.63093461990193	-3.51531190578398	controls.between.sites MC	2
3	3	-3.63002544056743	-3.51594300686416	controls.between.sites MC	2
1	1	-3.65303145151737	-3.45861495420009	controls.between.sites PJ	2
5	5	-3.65229016491525	-3.45879709185311	controls.between.sites PJ	2
3	3	-3.65484667762384	-3.45761049511721	controls.between.sites PJ	2
1	1	-3.29856718387963	-3.16868952458323	controls.between.sites PP	2
5	5	-3.28266773307327	-3.15294103587213	controls.between.sites PP	2
3	3	-3.31388425770508	-3.19284240399561	controls.between.sites PP	2
1	1	-3.82579291488606	-3.75803966332343	controls.between.sites glacier_forefield	2
5	5	-3.79140934236692	-3.72558272056064	controls.between.sites glacier_forefield	2
3	3	-4.64126868694497	-4.52190414626941	controls.between.sites glacier_forefield	2
1	1	-3.81216512778871	-3.7609034734091	controls.between.sites litchfield_island	2
5	5	-3.76582711471511	-3.71699026109589	controls.between.sites litchfield_island	2
3	3	-4.62642895767086	-4.45568044863616	controls.between.sites litchfield_island	2
1	1	-3.40845130515552	-3.28346992395935	dim.C.between.sites GL	2
5	5	-3.40733186679696	-3.28325947092302	dim.C.between.sites GL	2
3	3	-3.4112973209026	-3.28286694816669	dim.C.between.sites GL	2
1	1	-3.53909739232654	-3.43093899327093	dim.C.between.sites MC	2
5	5	-3.49027740423402	-3.39378201444388	dim.C.between.sites MC	2
3	3	-3.58639073577776	-3.46280615978474	dim.C.between.sites MC	2
1	1	-3.34317409974008	-3.18990343265103	dim.C.between.sites PJ	2
5	5	-3.34084647475408	-3.18914410356876	dim.C.between.sites PJ	2
3	3	-3.34858697670355	-3.18982475843583	dim.C.between.sites PJ	2
1	1	-3.11534451219557	-3.01293447224444	dim.C.between.sites PP	2
5	5	-3.08241750339975	-2.98134643318095	dim.C.between.sites PP	2
3	3	-3.15325317607027	-3.06288889234595	dim.C.between.sites PP	2
1	1	-3.11827468195539	-3.01136657662436	dim.CN.combine.sites GL	2
5	5	-3.11539521983636	-3.01068383340698	dim.CN.combine.sites GL	2
3	3	-3.12319261103057	-3.01073308968762	dim.CN.combine.sites GL	2
1	1	-3.19342962921576	-3.09128032380625	dim.CN.combine.sites MC	2
5	5	-3.19030682312992	-3.08963382896369	dim.CN.combine.sites MC	2
3	3	-3.19745982006064	-3.09224364417936	dim.CN.combine.sites MC	2
1	1	-2.99821161133229	-2.91356550840548	dim.CN.combine.sites PJ	2
5	5	-2.99833016957166	-2.91340293567012	dim.CN.combine.sites PJ	2
3	3	-2.99765965123403	-2.91404229041586	dim.CN.combine.sites PJ	2
1	1	-2.99403143709951	-2.91533730070319	dim.CN.combine.sites PP	2
5	5	-2.98930661818485	-2.90954780137049	dim.CN.combine.sites PP	2
3	3	-2.9995127003567	-2.92712356522827	dim.CN.combine.sites PP	2
1	1	-3.28764901006844	-3.19431756019415	dim.compare.sites GL	2
5	5	-3.28610994486546	-3.1938047534086	dim.compare.sites GL	2
3	3	-3.29077481047492	-3.19416252036685	dim.compare.sites GL	2
1	1	-3.36530646275694	-3.3023830042609	dim.compare.sites MC	2
5	5	-3.35649498232614	-3.29580930184801	dim.compare.sites MC	2
3	3	-3.3760922256653	-3.30844023308236	dim.compare.sites MC	2
1	1	-3.23655173172534	-3.1163872992943	dim.compare.sites PJ	2
5	5	-3.23519731319901	-3.11614244842984	dim.compare.sites PJ	2
3	3	-3.23952264671506	-3.11582061813	dim.compare.sites PJ	2
1	1	-3.09959661960229	-3.03319355202548	dim.compare.sites PP	2
5	5	-3.08667918690667	-3.01970424293697	dim.compare.sites PP	2
3	3	-3.11400367541701	-3.05420030148724	dim.compare.sites PP	2
1	1	-3.29298888214947	-3.24621220963163	dim.compare.treatments C	2
5	5	-3.2929791751573	-3.24622939797861	dim.compare.treatments C	2
3	3	-3.29299795151345	-3.24617515387165	dim.compare.treatments C	2
1	1	-3.03886586825661	-3.01114353482608	dim.compare.treatments CN	2
5	5	-3.03229072076375	-3.00381611669375	dim.compare.treatments CN	2
3	3	-3.04311199947567	-3.01737765444693	dim.compare.treatments CN	2
1	1	-3.47111249661768	-3.37379143638796	dim.compare.treatments control	2
5	5	-3.44989950653803	-3.35891282994921	dim.compare.treatments control	2
3	3	-3.50144685491105	-3.38964170195857	dim.compare.treatments control	2
